title	year	kind	KMRB	genre	country	cast	director	runtime(min)	provider
당신이 잠든 사이에(While You Where Sleeping)	2017	TV	15세이상관람가	['드라마', '멜로/로맨스']	['한국']	['이종석', '수지', '이상엽', '정해인', '고성희', '신재하']	['오충환', '박수진']		['웨이브', '왓챠']
17 어게인(17 Again)	2009	movie	15세이상관람가	['코미디', '멜로/로맨스']	['미국']	['잭 에프론', '레슬리 만', '토마스 레논 ', '매튜 페리', '타일러 스틸맨', '앨리슨 밀러', '스털링 나이트']	['버 스티어스']	102	['넷플릭스']
파고(Fargo)	1996	movie	청소년관람불가	['드라마', '스릴러', '범죄']	['미국']	['프란시스 맥도맨드', '윌리암 H. 머시', '스티브 부세미 ', '하브 프레스넬', '피터 스토메어', '크리스틴 러드러드']	['조엘 코엔', '에단 코엔']	98	['웨이브', '왓챠']
도그빌(Dogville)	2003	movie	청소년관람불가	['드라마', '스릴러', '미스터리']	['독일', '영국', '프랑스', '이탈리아', '노르웨이', '네덜란드', '스웨덴', '덴마크', '핀란드']	['니콜 키드먼', '해리엣 안데르손', '로렌 바콜', '쟝 마르 바', '폴 베타니', '블레어 브라운', '제임스 칸']	['라스 폰 트리에']	178	['웨이브', '티빙', '왓챠', 'seezn']
몬스터 콜(A Monster Calls)	2016	movie	12세이상관람가	['드라마', '판타지']	['스페인']	['루이스 맥더겔', '시고니 위버', '펠리시티 존스', '리암 니슨', '토비 켑벨 ', '벤 무어 ', '제임스 멜빌 ']	['후안 안토니오 바요나']	108	['웨이브', '티빙']
워킹 데드 시즌 1(The Walking Dead)	2010	TV	청소년관람불가	['드라마', '액션', '공포(호러)']	['미국']	['앤드류 링컨', '제프리 드먼', '존 번탈', '스티븐 연 ', '사라 웨인 콜리스', '로리 홀든']	['프랭크 다라본트']		['넷플릭스', '디즈니+']
시지프스 : the myth(SISYPHUS: THE MYTH)	2021	TV	15세이상관람가	['드라마']	['한국']	['조승우', '박신혜', '김병철', '성동일', '태인호', '채종협']	['김승호', '진혁']		['넷플릭스', '티빙', 'seezn']
귀여운 여인(Pretty Woman)	1990	movie	청소년관람불가	['드라마', '코미디']	['미국']	['리차드 기어', '줄리아 로버츠', '랄프 벨라미 ', '제이슨 알렉산더 ', '로라 산 지아코모', '헥터 엘리존도 ']	['게리 마샬']	119	['디즈니+']
타인은 지옥이다(Strangers from Hell)	2019	TV	청소년관람불가	['드라마', '스릴러']	['한국']	['임시완', '이동욱', '이정은', '이현욱', '박종환', '이중옥', '안은진']	['이창희']		['넷플릭스', '티빙 (무삭제)', '티빙', 'seezn']
유 퀴즈 온 더 블럭(You Quiz on the Block)	2018	TV	전체관람가	['예능']	['한국']	['유재석', '조세호']	['박희연']		['티빙']
여고추리반(Girls' High School Mystery Class)	2021	TV	15세이상관람가	['예능']	['한국']	['박지윤', '장도연', '재재', '비비', '최예나']	['정종연']		['티빙']
대탈출 시즌 4()	2021	TV	15세이상관람가	['예능']	['한국']	['강호동', '김종민', '김동현', '신동', '유병재', '피오']	[]		['티빙']
세상을 바꾼 변호인(On the Basis of Sex)	2018	movie	12세이상관람가	['드라마']	['미국']	['펠리시티 존스', '아미 해머', '저스틴 서룩스', '샘 워터스톤', '케일리 스패니', '캐시 베이츠', '스티븐 루트']	['미미 레더']	120	['티빙', '왓챠']
왕좌의 게임 시즌 6(Game of Thrones)	2016	TV	청소년관람불가	['드라마', '액션', '어드벤처(모험)']	['미국', '영국']	['키트 해링턴 ', '에밀리아 클라크 ', '피터 딘클리지 ', '니콜라이 코스터-왈도', '레나 헤디', '이언 글렌 ']	['미구엘 사포크닉', '제레미 포데스와']		['웨이브', '왓챠']
레이디스 나잇(Rough Night)	2017	movie	청소년관람불가	['코미디']	['미국']	['스칼릿 조핸슨', '케이트 맥키넌', '질리언 벨', '일래너 글레이저', '조 크라비츠 ', '데미 무어', '콜튼 하인즈']	['루시아 애니엘로']	101	['넷플릭스', '왓챠', 'seezn']
내 이름은 김삼순(My Lovely Sam-Soon)	2005	TV	15세이상관람가	['드라마']	['한국']	['김선아', '현빈', '정려원', '다니엘 헤니 ', '이규한', '이윤미', '김자옥']	['김윤철']		['웨이브', '왓챠', '쿠팡플레이', 'seezn']
믿을 수 없는 이야기(Unbelievable)	2019	TV	청소년관람불가	['드라마', '스릴러', '범죄']	['미국']	['토니 콜렛', '메릿 웨버', '케이틀린 디버']	['수잔나 그랜트', '마이클 셰이본', '아예렛 왈드먼']		['넷플릭스']
바디 오브 라이즈(Body Of Lies)	2008	movie	15세이상관람가	['액션', '스릴러']	['미국']	['레오나르도 디카프리오 ', '러셀 크로우', '마크 스트롱', '골쉬프테 파라하니 ', '캐리스 밴 허슨 ', '오스카 아이삭 ']	['리들리 스콧']	128	['넷플릭스', '왓챠', '쿠팡플레이']
비와 당신의 이야기(Waiting For Rain)	2020	movie	전체관람가	['멜로/로맨스']	['한국']	['강하늘', '천우희', '이설', '이양희', '이항나', '강영석', '고우림']	['조진모']	117	['왓챠']
캐리(Carrie)	2013	movie	청소년관람불가	['드라마', '공포(호러)']	['미국']	['클로이 모레츠', '줄리안 무어 ', '주디 그리어', '포샤 더블데이', '가브리엘라 와일드 ', '사만다 웨인스타인 ', '안셀 엘고트']	['킴벌리 피어스']	100	['왓챠', '쿠팡플레이']
