"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%),사례수 (건),하루에도 여러번 (%),하루1번(매일) (%),1주일에 5~6회 (%),1주일에 3~4회 (%),1주일에 1~2회 (%),월1~3회 (%),월1회 (%),분기/연간1회 (%)
"지역",제주,59,15.8,30.9,3.6,2.6,24.6,17.3,4.6,0.7,83,81.7,9.1,1.2,2.1,5.2,0.7,0.0,0.0,85,70.4,15.4,2.6,2.9,7.4,1.3,0.0,0.0
"지역",세종,46,7.6,4.3,18.2,16.7,47.3,4.5,0.5,0.9,79,20.1,24.3,23.4,5.0,27.3,0.0,0.0,0.0,88,27.5,53.8,7.4,6.7,4.6,0.0,0.0,0.0
"지역구분2",시부,4258,20.6,13.6,8.4,13.8,29.3,11.0,2.7,0.5,7113,35.6,15.3,10.1,14.0,17.8,5.3,1.7,0.1,7881,36.4,15.2,9.3,14.8,17.7,5.6,0.9,-
"지역구분2",군부,200,23.5,9.6,9.4,13.7,21.2,14.0,8.6,0.0,321,22.3,17.0,14.2,16.2,22.7,5.8,1.7,0.0,413,37.2,12.2,7.6,13.9,21.1,6.3,1.6,0.1
"종사상지위",임금근로자,2314,16.4,12.7,8.1,16.2,31.0,12.3,3.2,0.2,3968,30.0,17.2,11.0,15.7,18.5,6.0,1.5,0.2,4440,33.1,15.6,9.6,16.0,18.4,6.2,0.9,0.0
"종사상지위",고용주,4258,20.6,13.6,8.4,13.8,29.3,11.0,2.7,0.5,110,26.2,17.8,15.1,15.9,17.3,4.5,3.3,0.0,141,35.0,19.3,7.4,10.3,20.4,6.1,1.5,0.0
"종사상지위",단독자영업자,200,23.5,9.6,9.4,13.7,21.2,14.0,8.6,0.0,535,29.6,15.3,8.0,16.7,21.3,5.7,3.4,0.0,623,27.5,14.5,8.5,15.4,24.6,7.5,1.9,0.3
"종사상지위",무급가족종사자,40,21.1,10.2,5.7,13.8,16.8,22.3,10.2,0.0,66,34.5,3.9,7.1,13.3,24.3,10.5,6.5,0.0,97,27.5,6.9,5.6,14.0,23.7,15.2,7.0,0.0
"종사상지위",무직,1707,28.0,14.2,9.3,10.9,25.5,8.9,2.4,0.7,2755,43.7,13.0,9.7,11.3,16.5,4.2,1.5,0.1,2992,43.7,14.3,9.0,12.9,15.4,4.0,0.6,-
"상세직업",관리자,100,23.0,11.9,4.9,10.3,31.0,15.5,3.4,0.0,189,33.3,21.5,6.7,16.0,15.5,6.8,0.1,0.0,208,33.6,20.0,8.9,8.1,20.9,7.5,1.0,0.0
"상세직업",전문가및관련종사자,479,22.4,11.8,8.9,17.6,29.0,7.8,1.5,1.1,773,36.0,15.1,12.1,15.7,14.9,4.4,0.8,0.9,836,39.6,11.6,10.0,17.6,16.7,4.0,0.5,0.0
"상세직업",사무종사자,779,16.5,12.8,9.6,16.9,31.9,9.1,3.1,0.1,1257,28.3,17.0,11.0,15.3,22.0,4.5,1.8,0.0,1443,33.0,14.3,9.4,15.6,18.7,8.2,0.8,0.0
"상세직업",서비스종사자,321,12.1,15.1,5.5,11.0,35.3,16.0,4.9,0.0,592,31.3,15.1,12.0,14.4,18.5,7.0,1.7,0.0,690,29.8,19.8,9.9,15.6,15.5,7.9,1.5,0.0
"상세직업",판매종사자,448,16.6,12.4,9.4,16.9,28.5,11.1,4.5,0.6,753,30.7,23.4,7.8,12.4,19.5,5.1,1.1,0.0,806,31.1,14.8,12.0,16.4,19.7,5.4,0.7,0.0
